id,lat,lon,name
163,41.93186,-87.67079,Paulina St & Diversey Pkwy
164,41.885837,-87.6355,Franklin St & Lake St
165,41.94893,-87.65775,Clark St & Waveland Ave
166,41.92883,-87.668507,Ashland Ave & Wrightwood Ave
167,41.8492,-87.67564,Damen Ave & Coulter St
168,41.864059,-87.623727,Michigan Ave & 14th St
169,41.874337,-87.639566,Canal St & Harrison St
170,41.85795,-87.640826,Clinton St & 18th St
171,41.855136,-87.654127,May St & Cullerton St
173,41.89691,-87.621743,Mies van der Rohe Way & Chicago Ave
174,41.882091,-87.639833,Canal St & Madison St
175,41.872373,-87.633523,Wells St & Polk St
176,41.903233,-87.631253,Clark St & Elm St
177,41.926277,-87.630834,Theater on the Lake
178,41.856594,-87.627542,State St & 19th St
179,41.82256,-87.61615,Martin Luther King Dr & Oakwood Blvd
181,41.890749,-87.63206,LaSalle St & Illinois St
183,41.899714,-87.677234,Damen Ave & Augusta Blvd
184,41.83104,-87.62688,State St & 35th St
185,41.917741,-87.691392,Stave St & Armitage Ave
186,41.891795,-87.658751,Ogden Ave & Race Ave
188,41.92533,-87.6658,Greenview Ave & Fullerton Ave
190,41.92888,-87.66317,Southport Ave & Wrightwood Ave
191,41.8807,-87.63947,Canal St & Monroe St
192,41.87923,-87.640015,Canal St & Adams St
193,41.841707,-87.626938,State St & 29th St
194,41.887155,-87.62775,State St & Wacker Dr
195,41.8853,-87.62077,Columbus Dr & Randolph St
196,41.889875,-87.621994,Cityfront Plaza & N Water St
197,41.882134,-87.625125,Michigan Ave & Madison St
198,41.88175,-87.6478,Halsted St & Madison St
199,41.891738,-87.626937,Wabash Ave & Grand Ave
200,41.809851,-87.616279,King Dr & 47th St
201,41.82168,-87.6216,Indiana Ave & 40th St
202,41.857499,-87.646277,Halsted St & 18th St
203,41.85394,-87.685243,Western Ave & 21st St
204,41.7951,-87.61936,Prairie Ave & Garfield Blvd
205,41.857901,-87.668745,Paulina St & 18th St
206,41.847203,-87.646795,Halsted St & Archer Ave
207,41.84358,-87.645368,Emerald Ave & 28th St
208,41.85381,-87.665897,Ashland Ave & 21st St
209,41.849527,-87.640591,Normal Ave & Archer Ave
210,41.903456,-87.66777,Ashland Ave & Division St
211,41.894448,-87.622663,St Clair St & Erie St
212,41.892238,-87.633985,Wells St & Ohio St
213,41.910652,-87.6824,Leavitt St & North Ave
214,41.89122,-87.67686,Damen Ave & Grand Ave
215,41.88137,-87.67493,Damen Ave & Madison St
216,41.903029,-87.697474,California Ave & Division St
217,41.886773,-87.656001,May St & Fulton St
218,41.856802,-87.633879,Wells St & 19th St
219,41.916027,-87.677411,Damen Ave & Cortland St
220,41.93262,-87.642385,Hampden Ct & Diversey Pkwy
222,41.920195,-87.693033,Milwaukee Ave & Rockwell St
223,41.918216,-87.656936,Clifton Ave & Armitage Ave
224,41.913778,-87.64884,Halsted St & Willow St
225,41.919936,-87.64883,Halsted St & Dickens Ave
226,41.939743,-87.658865,Racine Ave & Belmont Ave
227,41.94815,-87.66394,Southport Ave & Waveland Ave
228,41.9406,-87.6785,Damen Ave & Melrose Ave
229,41.943739,-87.66402,Southport Ave & Roscoe St
230,41.94334,-87.67097,Lincoln Ave & Roscoe St
231,41.96167,-87.65464,Sheridan Rd & Montrose Ave
232,41.947836,-87.645416,Pine Grove Ave & Addison St
233,41.883004,-87.651148,Sangamon St & Washington Blvd
234,41.961588,-87.666036,Clark St & Montrose Ave
236,41.907576,-87.638517,Sedgwick St & Schiller St
237,41.842052,-87.617,Martin Luther King Dr & 29th St
238,41.961626,-87.674101,Ravenswood Ave & Montrose Ave
239,41.966555,-87.688487,Western Ave & Leland Ave
240,41.95434,-87.654601,Sheridan Rd & Irving Park Rd
241,41.871737,-87.65103,Morgan St & Polk St
242,41.967094,-87.679028,Damen Ave & Leland Ave
243,41.962391,-87.684146,Lincoln Ave & Leavitt St
244,41.95469,-87.67393,Ravenswood Ave & Irving Park Rd
245,41.961004,-87.649603,Clarendon Ave & Junior Ter
246,41.956061,-87.668869,Ashland Ave & Belle Plaine Ave
247,41.795212,-87.580715,Shore Drive & 55th St
248,41.795264,-87.596471,Woodlawn Ave & 55th St
249,41.963982,-87.638181,Montrose Harbor
250,41.936083,-87.669807,Ashland Ave & Wellington Ave
251,41.967968,-87.650001,Clarendon Ave & Leland Ave
252,41.809835,-87.599383,Greenwood Ave & 47th St
253,41.968873,-87.658857,Clifton Ave & Lawrence Ave
254,41.954383,-87.648043,Pine Grove Ave & Irving Park Rd
255,41.867888,-87.623041,Indiana Ave & Roosevelt Rd
256,41.952833,-87.649993,Broadway & Sheridan Rd
257,41.94911,-87.675112,Lincoln Ave & Waveland Ave
258,41.930584,-87.685126,Logan Blvd & Elston Ave
259,41.91855,-87.69723,California Ave & Francis Pl
260,41.929567,-87.707857,Kedzie Ave & Milwaukee Ave
261,41.871514,-87.669886,Hermitage Ave & Polk St
262,41.827071,-87.645801,Halsted St & 37th St
263,41.836208,-87.613533,Rhodes Ave & 32nd St
264,41.886835,-87.62232,Stetson Ave & South Water St
265,41.822985,-87.6071,Cottage Grove Ave & Oakwood Blvd
267,41.809443,-87.591875,Lake Park Ave & 47th St
268,41.911722,-87.626804,Lake Shore Dr & North Blvd
271,41.816499,-87.606582,Cottage Grove Ave & 43rd St
272,41.838842,-87.621857,Indiana Ave & 31st St
273,41.857937,-87.623633,Michigan Ave & 18th St
274,41.861267,-87.656625,Racine Ave & 15th St
275,41.865234,-87.666507,Ashland Ave & 13th St
276,41.91044,-87.6972,California Ave & North Ave
277,41.891072,-87.666611,Ashland Ave & Grand Ave
278,41.830629,-87.64129,Wallace Ave & 35th St
279,41.830661,-87.647172,Halsted St & 35th St
280,41.8378,-87.65114,Morgan St & 31st St
281,41.84847,-87.685109,Western Ave & 24th St
282,41.86458,-87.64693,Halsted St & Maxwell St
283,41.87817,-87.631985,LaSalle St & Jackson Blvd
284,41.87785,-87.62408,Michigan Ave & Jackson Blvd
285,41.89113,-87.67203,Wood St & Grand Ave
286,41.878724,-87.634793,Franklin St & Quincy St
287,41.881131,-87.635185,Franklin St & Arcade Pl
288,41.91797,-87.64368,Larrabee St & Armitage Ave
289,41.912202,-87.634664,Wells St & Concord Ln
290,41.921525,-87.707322,Kedzie Ave & Palmer Ct
291,41.906724,-87.63483,Wells St & Evergreen Ave
292,41.957081,-87.664199,Southport Ave & Clark St
293,41.965287,-87.658774,Broadway & Wilson Ave
294,41.978353,-87.659753,Broadway & Berwyn Ave
295,41.972972,-87.659637,Broadway & Argyle St
296,41.940106,-87.645451,Broadway & Belmont Ave
297,41.961507,-87.671387,Paulina St & Montrose Ave
298,41.955927,-87.679259,Lincoln Ave & Belle Plaine Ave
299,41.943662,-87.648917,Halsted St & Roscoe St
300,41.937739,-87.644094,Broadway & Barry Ave
301,41.907993,-87.631501,Clark St & Schiller St
302,41.928712,-87.653833,Sheffield Ave & Wrightwood Ave
303,41.945512,-87.64598,Broadway & Cornelia Ave
304,41.949333,-87.649634,Halsted St & Waveland Ave
305,41.902893,-87.687275,Western Ave & Division St
306,41.9584,-87.65423,Sheridan Rd & Buena Ave
307,41.921004,-87.663257,Southport Ave & Clybourn Ave
308,41.943403,-87.679618,Seeley Ave & Roscoe St
309,41.917805,-87.682437,Leavitt St & Armitage Ave
310,41.920082,-87.677855,Damen Ave & Charleston St
311,41.96583,-87.68651,Lincoln Ave & Eastwood Ave
312,41.957879,-87.649519,Clarendon Ave & Gordon Ter
