,31000,31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022,31023,31024,31025,31026,31027,31028,31029,31030,31031,31032,31033,31034,31035,31036,31037,31038,31039,31040,31041,31042,31043,31044,31045,31046,31047,31048,31049,31050,31051,31052,31053,31054,31055,31056,31057,31058,31059,31060,31061,31062,31063,31064,31065,31066,31067,31068,31069,31070,31071,31072,31073,31074,31075,31076,31100,31101,31102,31103,31104,31105,31106,31107,31108,31109,31110,31111,31112,31113,31114,31115,31116,31117,31118,31119,31120,31121,31200,31201,31202,31203,31204,31205,31206,31207,31208,31209,31210,31211,31212,31213,31214,31215,31216,31217,31218,31219,31220,31221,31222,31223,31224,31225,31226,31227,31228,31229,31230,31231,31232,31233,31234,31235,31236,31237,31238,31239,31240,31241,31242,31243,31244,31245,31246,31247,31248,31249,31250,31251,31252,31253,31254,31255,31256,31257,31258,31259,31260,31261,31262,31263,31264,31265,31266,31267,31268,31269,31270,31271,31272,31273,31300,31301,31302,31303,31304,31305,31306,31307,31308,31309,31310,31311,31312,31313,31400,31401,31402,31403,31404,31405,31406,31407,31408,31500,31501,31502,31503,31504,31505,31506,31507,31508,31509,31510,31511,31512,31513,31514,31515,31516,31600,31601,31602,31603,31604,31605,31606,31607,31608,31609,31610,31611,31612,31613,31614,31615,31616,31617,31618,31619,31620,31621,31622,31623,31624,31625,31626,31627,31628,31629,31630,31631,31632,31633,31634,31635,31636,31637,31638,31700,31701,31702,31703,31704,31705,31706,31707,31708,31709,31710,31711,31800,31801,31802,31803,31804,31805,31806,31807,32000,32001,32002,32003,32004,32005,32006,32007,32008,32009,32010,32011,32012,32013,32014,32015,32016,32017,32018,32019,32020,32021,32022,32023,32024,32025,32026,32027,32028,32029,32030,32031,32032,32033,32034,32035,32036,32037,32038,32039,32040,32041,32042,32043,32044,32901,32902
0,38.8561,38.85725,38.8564,38.86017,38.857866,38.862303,38.8637,38.8573,38.8629,38.848441,38.8426,38.8533,38.850688,38.853613,38.897315,38.8946,38.893648,38.891696,38.892164,38.889,38.8904,38.8881,38.88786,38.885801,38.882788,38.88397,38.884734,38.896015,38.893241,38.896923,38.89593,38.89054,38.880834,38.8815,38.882629,38.876393,38.87887,38.881044,38.883921,38.880151,38.884616,38.803124,38.804718,38.810743,38.805317,38.805648,38.811456,38.814577,38.805767,38.883669,38.884961,38.889365,38.844015,38.863833,38.857803,38.846222,38.847977,38.8444,38.860789,38.835213,38.84232,38.848454,38.854691,38.852248,38.834108,38.880705,38.867262,38.862478,38.856319,38.871822,38.873755,38.86646,38.837666,38.873219,38.869675,38.866471,38.839912,38.9003,38.9176,38.929464,38.926088,38.922925,38.9268,38.923203,38.9319,38.8767,38.9155,38.9154,38.9172,38.927872,38.920669,38.918809,38.928156,38.917761,38.92333,38.917622,38.921074,38.920387,38.923583,38.9101,38.90985,38.912682,38.9086,38.8963,38.9008,38.8952,38.9249,38.8763,38.8743,38.896404,38.895184,38.90534,38.90276,38.9121,38.9022212,38.899641,38.887237,38.886266,38.893028,38.894919,38.904742,38.8991,38.90572,38.903407,38.90375,38.916442,38.900283,38.8997,38.91554,38.898364,38.894514,38.897324,38.902061,38.908905,38.8923,38.90774,38.903827,38.898069,38.906602,38.88412,38.9059,38.89968,38.887299,38.88412,38.912719,38.905126,38.888553,38.888767,38.879819,38.903584,38.903819,38.901539,38.902204,38.902,38.9066,38.895914,38.90088,38.888251,38.894722,38.896104,38.892459,38.897857,38.90268,38.894573,38.90093,38.905607,38.908142,38.916794,38.887378,38.894851,38.892275,38.88731,38.878433,38.944551,38.938736,38.934751,38.947607,38.922581,38.934267,38.922649,38.930282,38.943837,38.954812,38.955016,38.946747,38.90849,38.941154,38.936043,38.9375,38.947774,38.956595,38.9418,38.949662,38.942016,38.956432,38.975219,38.919488,38.933668,38.9346,38.9126,38.932514,38.910972,38.915417,38.928743,38.90509,38.912659,38.927095,38.928644,38.903732,38.918155,38.927497,38.952369,38.920682,38.90304,38.8896,38.9308,38.9057,38.899408,38.8851,38.8803,38.884,38.8792,38.87675,38.886952,38.9003,38.894758,38.884,38.899983,38.900384,38.900412,38.900413,38.889955,38.890461,38.897222,38.895344,38.894832,38.89696,38.897446,38.881185,38.88732,38.905707,38.87861,38.889988,38.889908,38.897274,38.897195,38.887397,38.87501,38.876737,38.90706,38.899703,38.900358,38.8601,38.8692,38.878,38.897063,38.901385,38.894,38.86559,38.889935,38.896544,38.884085,38.898536,38.908473,38.843222,38.862669,38.867373,38.866611,38.865784,38.873057,38.844711,38.863897,38.988562,38.985404,38.981103,38.983838,39.096312,39.093783,38.987,39.084125,38.98954,39.094772,38.98128,38.983627,38.99521,38.983525,38.961763,39.120045,39.099376,39.083705,39.123513,38.990249,39.107709,38.982456,39.000578,39.095661,38.989724,38.975,38.977933,38.992375,38.990639,38.977093,39.102099,39.094103,39.076331,39.102212,38.992679,38.999388,38.997033,39.114688,39.110314,38.999634,38.96115,39.103091,39.097636,38.997445,39.085394,38.903998,38.86866
1,-77.0512,-77.05332,-77.0492,-77.049593,-77.05949,-77.059936,-77.0633,-77.0511,-77.0528,-77.051516,-77.0502,-77.0498,-77.05152,-77.053535,-77.070993,-77.072305,-77.076701,-77.0846,-77.079375,-77.0925,-77.0889,-77.09308,-77.094875,-77.097745,-77.103148,-77.10783,-77.093485,-77.078107,-77.086045,-77.086502,-77.089006,-77.08095,-77.091129,-77.10396,-77.109366,-77.107735,-77.1207,-77.111768,-77.116817,-77.107673,-77.10108,-77.040363,-77.043363,-77.044664,-77.049883,-77.05293,-77.050276,-77.052808,-77.06072,-77.113905,-77.08777,-77.077294,-77.050537,-77.080319,-77.086733,-77.069275,-77.075104,-77.085931,-77.09586,-77.094295,-77.089555,-77.084918,-77.100555,-77.105022,-77.087323,-77.08596,-77.072315,-77.086599,-77.11153,-77.107906,-77.089233,-77.04826,-77.09482,-77.082104,-77.093586,-77.076131,-77.087083,-77.0429,-77.0321,-77.027822,-77.036536,-77.042581,-77.0322,-77.047637,-77.0388,-77.0178,-77.0222,-77.0446,-77.0259,-77.043358,-77.04368,-77.041571,-77.02344,-77.04062,-77.0352,-77.01597,-77.031887,-77.025672,-77.050046,-77.0444,-77.034438,-77.031681,-77.0323,-77.045,-77.047,-77.0436,-77.0222,-77.0037,-77.0057,-77.039506,-77.054845,-77.046774,-77.03863,-77.0387,-77.059219,-77.032005,-77.028226,-77.022241,-77.026013,-77.046587,-77.041606,-77.0337,-77.022264,-77.043648,-77.06269,-77.0682,-77.029822,-77.023086,-77.03818,-77.027869,-77.031617,-77.022322,-77.038322,-77.04478,-77.0436,-77.071652,-77.053485,-77.031823,-77.038785,-77.04657,-77.0325,-77.041539,-77.018939,-77.017445,-77.022155,-77.056887,-77.032429,-77.02858,-77.037413,-77.044789,-77.0284,-77.046564,-77.04337,-77.03353,-77.05152,-77.026064,-77.048911,-77.049426,-77.045128,-77.049882,-77.046567,-77.026975,-77.02674,-77.01994,-77.018677,-77.027137,-77.038359,-77.029779,-77.001955,-77.02324,-77.013917,-77.01397,-77.03023,-77.063896,-77.087171,-77.074647,-77.079382,-77.070334,-77.057979,-77.077271,-77.055599,-77.077078,-77.082426,-77.069956,-77.065015,-77.063586,-77.062036,-77.024649,-77.0328,-77.032818,-77.019815,-77.0251,-77.027333,-77.032652,-77.032947,-77.016855,-77.000624,-76.991016,-76.9955,-77.0135,-76.992889,-77.00495,-77.012289,-77.012457,-76.9941,-77.017669,-76.978924,-76.990955,-76.987211,-77.004746,-76.997194,-77.002721,-76.995876,-77.019027,-76.9769,-77.0315,-77.0056,-77.015289,-77.0023,-76.9862,-76.9861,-76.9953,-77.02127,-76.996806,-76.9882,-76.997114,-76.995397,-76.991383,-76.99831,-77.001949,-76.982872,-77.000349,-76.988355,-77.019347,-77.016106,-76.987633,-77.00493,-77.009888,-77.001828,-76.983569,-77.003041,-77.006004,-76.995193,-76.983326,-76.994749,-76.983575,-77.026154,-77.0024,-76.994468,-77.015231,-77.008911,-77.012108,-76.9672,-76.9599,-76.9607,-76.947446,-76.941877,-76.947974,-76.952103,-76.93723,-76.96012,-76.957461,-76.931862,-76.933099,-76.999388,-76.994637,-76.988039,-76.985238,-76.9784,-76.971015,-76.987823,-76.990037,-77.096539,-77.023082,-77.097426,-77.09221,-77.192672,-77.202501,-77.029417,-77.151291,-77.098029,-77.145213,-77.011336,-77.006311,-77.02918,-77.095367,-77.085998,-77.156985,-77.188014,-77.149443,-77.15741,-77.02935,-77.152072,-77.091991,-77.00149,-77.159048,-77.023854,-77.01121,-77.006472,-77.100104,-77.100239,-77.094589,-77.200322,-77.132954,-77.141378,-77.177091,-77.029457,-77.031555,-77.025608,-77.171487,-77.182669,-77.109647,-77.088659,-77.196442,-77.196636,-77.023894,-77.145803,-77.063926,-77.013541
2,20th & Bell St,18th & Eads St.,20th & Crystal Dr,15th & Crystal Dr,Aurora Hills Community Ctr/18th & Hayes St,12th & Hayes St /  Pentagon City Metro,S Joyce & Army Navy Dr,Crystal City Metro / 18th & Bell St,12th & Army Navy Dr,27th & Crystal Dr,S Glebe & Potomac Ave,23rd & Crystal Dr,26th & S Clark St,23rd & Eads St,Lynn & 19th St North,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,Clarendon Blvd & Pierce St,Court House Metro / Wilson Blvd & N Uhle St,N Rhodes & 16th St N,Wilson Blvd & N Edgewood St,Wilson Blvd & Franklin Rd,Clarendon Blvd & N Fillmore St,Clarendon Metro / Wilson Blvd & N Highland St,Fairfax Dr & Wilson Blvd,Virginia Square Metro / N Monroe St & 9th St N,Central Library / N Quincy St & 10th St N,Washington Blvd & 10th St N,Key Blvd & N Quinn St,N Veitch & Key Blvd,N Veitch  & 20th St N,N Adams St & Lee Hwy,15th & N Scott St,Washington Blvd & 7th St N,Wilson Blvd & N Oakland St,N Randolph St & Fairfax Dr,N Quincy St & Glebe Rd,George Mason Dr & Wilson Blvd,Ballston Metro / N Stuart & 9th St N,Glebe Rd & 11th St N,N Quincy St & Wilson Blvd,Fairfax Dr & Kenmore St,Prince St & Union St,Market Square / King St & Royal St,Saint Asaph St & Pendleton  St,King St & Patrick St,Commerce St & Fayette St,Henry St & Pendleton St,Braddock Rd Metro,King St Metro,Utah St & 11th St N ,Barton St & 10th St N,Arlington Blvd & N Queen St,Potomac Ave & 35th St S,Columbia Pike & S Courthouse Rd,Walter Reed Community Center / Walter Reed Dr & 16th St S,28th St S & S Meade St,S Troy St & 26th St S,S Four Mile Run Dr & S Shirlington Rd,S Oakland St & Columbia Pike,S Abingdon St & 36th St S,S Arlington Mill Dr & Campbell Ave,S Kenmore & 24th St S,S George Mason Dr & 13th St S,S George Mason Dr & Four Mile Run,S Stafford & 34th St S,N Pershing Dr & Wayne St,Columbia Pike & S Orme St,Columbia Pike & S Walter Reed Dr,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,Pershing & N George Mason Dr,Arlington Blvd & Fillmore St,Long Bridge Park/Long Bridge Dr & 6th St S,31st & Woodrow St S,Washington Blvd & Walter Reed Dr ,Thomas Jefferson Cmty Ctr / 2nd St S & Ivy,Rolfe St & 9th St S,Shirlington Transit Center / S Quincy & Randolph St,19th St & Pennsylvania Ave NW,14th & V St NW,11th & Kenyon St NW,16th & Harvard St NW,Adams Mill & Columbia Rd NW,14th & Harvard St NW,Calvert & Biltmore St NW,Lamont & Mt Pleasant NW,4th & M St SW,7th & T St NW,20th St & Florida Ave NW,10th & U St NW,Harvard St & Adams Mill Rd NW,Columbia Rd & Belmont St NW,18th St & Wyoming Ave NW,Columbia Rd & Georgia Ave NW,California St & Florida Ave NW,15th & Euclid St  NW,3rd & Elm St NW,14th & Belmont St NW,10th & Florida Ave NW,Calvert St & Woodley Pl NW,Massachusetts Ave & Dupont Circle NW,15th & P St NW,14th & R St NW,14th & Rhode Island Ave NW,20th & E St NW,21st & I St NW,19th & E Street NW,Georgia Ave and Fairmont St NW,M St & New Jersey Ave SE,1st & N St  SE,White House [17th & State Pl NW],Kennedy Center,21st & M St NW,17th & K St NW,17th & Corcoran St NW,Georgetown Harbor / 30th St NW,McPherson Square / 14th & H St NW,USDA / 12th & Independence Ave SW,L'Enfant Plaza / 7th & C St SW,10th St & Constitution Ave NW,US Dept of State / Virginia Ave & 21st St NW,18th & M St NW,New York Ave & 15th St NW,Convention Center / 7th & M St NW,19th & L St NW,C & O Canal & Wisconsin Ave NW,34th St & Wisconsin Ave NW,13th St & New York Ave NW,8th & H St NW,New Hampshire Ave & T St NW,Metro Center / 12th & G St NW,14th & D St NW / Ronald Reagan Building,7th & F St NW / National Portrait Gallery,17th & K St NW / Farragut Square,20th & O St NW / Dupont South,19th St & Constitution Ave NW,37th & O St NW / Georgetown University,25th St & Pennsylvania Ave NW,14th & G St NW,17th & Rhode Island Ave NW,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,Thomas Circle,18th St & Pennsylvania Ave NW,Maryland & Independence Ave SW,4th & E St SW,7th & R St NW / Shaw Library,M St & Pennsylvania Ave NW,Jefferson Dr & 14th St SW,Smithsonian / Jefferson Dr & 12th St SW,Jefferson Memorial,20th & L St NW,12th & L St NW,21st St & Pennsylvania Ave NW,19th & K St NW,15th & K St NW,24th & N St NW,10th & E St NW,22nd & I St NW / Foggy Bottom,Lincoln Memorial,20th St & Virginia Ave NW,23rd & E St NW ,21st St & Constitution Ave NW,11th & F St NW,11th & K St NW,6th St & Indiana Ave NW,5th St & Massachusetts Ave NW,11th & M St NW,17th St & Massachusetts Ave NW,13th & U St NW,3rd St & Pennsylvania Ave SE,8th & D St NW,Constitution Ave & 2nd St NW/DOL,Washington & Independence Ave SW/HHS,Hains Point/Buckeye & Ohio Dr SW,Van Ness Metro / UDC,Ward Circle / American University,Idaho Ave & Newark St NW [on 2nd District patio],Tenleytown / Wisconsin Ave & Albemarle St NW,36th & Calvert St NW / Glover Park,Connecticut Ave & Newark St NW / Cleveland Park,39th & Calvert St NW / Stoddert,3000 Connecticut Ave NW / National Zoo,39th & Veazey St NW,Fessenden St & Wisconsin Ave NW,Connecticut & Nebraska Ave NW,Connecticut Ave & Yuma St NW,Wisconsin Ave & O St NW,Connecticut Ave & Tilden St NW,Georgia & New Hampshire Ave NW,14th St & Spring Rd NW,14th St Heights / 14th & Crittenden St NW,5th & Kennedy St NW,9th & Upshur St NW,Georgia Ave & Emerson St NW,14th & Upshur St NW,14th St & Colorado Ave NW,Takoma Metro,4th St & Rhode Island Ave NE,12th & Newton St NE,John McCormack Dr & Michigan Ave NE,Florida Ave & R St NW,10th & Monroe St NE,Eckington Pl & Q St NE,1st & Rhode Island Ave NW,1st & Washington Hospital Center NW,Gallaudet / 8th St & Florida Ave NE,New Jersey Ave & R St NW,18th St & Rhode Island Ave NE,12th & Irving St NE,Neal St & Trinidad Ave NE,Rhode Island Ave & V St NE,Hamlin & 7th St NE,Fort Totten Metro,Rhode Island Ave Metro,5th & K St NW,19th & East Capitol St SE,Park Rd & Holmead Pl NW,1st & M St NE,3rd & H St NW,3rd & D St SE,Potomac & Pennsylvania Ave SE,14th & D St SE,8th & Eye St SE / Barracks Row,6th & Water St SW / SW Waterfront,Eastern Market / 7th & North Carolina Ave SE,13th & H St NE,D St & Maryland Ave NE,Eastern Market Metro / Pennsylvania Ave & 7th St SE,11th & H St NE,6th & H St NE,3rd & H St NE,Bladensburg Rd & Benning Rd NE,4th & East Capitol St NE,Lincoln Park / 13th & East Capitol St NE ,5th & F St NW,4th & D St NW / Judiciary Square,13th & D St NE,Columbus Circle / Union Station,North Capitol St & F St NW,3rd & G St SE,15th St & Massachusetts Ave SE,M St & Delaware Ave NE,1st & K St SE,8th & East Capitol St NE,15th & East Capitol St NE,8th & F St NE,15th & F St NE,Independence Ave & L'Enfant Plaza SW/DOE,3rd & Tingey St SE,Potomac Ave & 8th St SE,New Jersey Ave & N St NW/Dunbar HS,North Capitol St & G Pl NE,1st & H St NW,Good Hope & Naylor Rd SE,Branch & Pennsylvania Ave SE,Randle Circle & Minnesota Ave SE,Minnesota Ave Metro/DOES,Nannie Helen Burroughs & Minnesota Ave NE,Benning Branch Library,Fairfax Village,Benning Rd & East Capitol St NE / Benning Rd Metro,Anacostia Ave & Benning Rd NE / River Terrace ,34th St & Minnesota Ave SE,Nannie Helen Burroughs Ave & 49th St NE,Deanwood Rec Center,Alabama & MLK Ave SE,Anacostia Metro,Good Hope Rd & MLK Ave SE,Good Hope Rd & 14th St SE,Anacostia Library,Pennsylvania & Minnesota Ave SE,Congress Heights Metro,Pleasant St & MLK Ave SE,Norfolk Ave & Fairmont St,Fenton St & New York Ave ,Bethesda Ave & Arlington Blvd,Montgomery Ave & Waverly St ,Fallsgrove Blvd & Fallsgrove Dr,Traville Gateway Dr & Gudelsky Dr,13th St & Eastern Ave,E Montgomery Ave & Maryland Ave,Cordell & Norfolk Ave,Frederick Ave & Horners Ln,Philadelphia & Maple Ave,Maple & Ritchie Ave,Silver Spring Metro/Colesville Rd & Wayne Ave,Montgomery & East Ln,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,Crabbs Branch Way & Redland Rd,Fallsgove Dr & W Montgomery Ave,Monroe St & Monroe Pl,Needwood Rd & Eagles Head Ct,East West Hwy & Blair Mill Rd,Crabbs Branch Way & Calhoun Pl,47th & Elm St,Garland Ave & Walden Rd,Montgomery College/W Campus Dr & Mannakee St,Fenton St & Gist Ave,Carroll & Westmoreland Ave,Carroll & Ethan Allen Ave,Battery Ln & Trolley Trail,Norfolk & Rugby Ave,Offutt Ln & Chevy Chase Dr,Broschart & Blackwell Rd,Taft St & E Gude Dr,Fleet St & Ritchie Pkwy,Piccard & W Gude Dr,Ripley & Bonifant St,Georgia Ave & Spring St,Fenton St & Ellsworth Dr ,King Farm Blvd & Pleasant Dr,King Farm Blvd & Piccard Dr,Old Georgetown Rd & Southwick St,Friendship Blvd & Willard Ave,Medical Center Dr & Key West Ave,Shady Grove Hospital,Veterans Pl & Pershing Dr ,Rockville Metro East,1714 Warehouse ,11th & K St NW
