,cas_rides_in,cas_rides_out,hour,station,sub_rides_in,sub_rides_out,weekday
166,7,6,14,31200.0,25,25,1
167,0,0,20,31017.0,3,7,0
168,0,0,10,31055.0,2,1,5
169,0,0,10,31626.0,1,6,1
170,0,0,8,31115.0,2,29,0
171,0,0,7,31621.0,18,1,4
172,1,1,8,31110.0,28,51,3
173,0,0,11,32019.0,0,1,1
174,3,2,0,31241.0,10,7,4
175,1,1,7,31205.0,16,1,1
176,9,7,14,31240.0,1,1,3
177,0,1,7,31232.0,17,14,2
178,0,1,16,31209.0,5,3,3
179,0,0,11,31632.0,0,1,4
180,0,0,17,31055.0,1,1,6
181,0,0,16,31627.0,15,9,0
182,0,1,11,31405.0,1,1,6
183,4,5,16,31624.0,61,33,2
184,0,0,8,31053.0,0,1,4
185,2,1,14,31621.0,9,8,1
186,7,4,13,31228.0,18,14,0
187,0,3,10,31015.0,3,2,1
188,1,2,10,31239.0,16,14,4
189,0,1,9,31406.0,0,13,2
190,0,1,14,31118.0,5,3,5
191,1,0,8,31267.0,22,22,3
192,2,1,22,31602.0,11,17,5
193,0,0,7,31803.0,2,3,3
194,0,1,19,31035.0,2,1,6
195,0,1,8,31503.0,7,31,2
196,0,0,12,31040.0,0,5,2
197,0,0,9,31114.0,2,6,3
198,0,1,11,31029.0,0,1,4
199,0,0,15,31608.0,6,7,4
200,0,0,6,31614.0,4,14,2
201,0,0,16,31047.0,1,4,5
202,0,5,9,31624.0,10,3,6
203,0,0,2,31402.0,1,1,5
204,0,1,13,31312.0,6,3,2
205,2,4,18,31304.0,6,6,3
206,10,3,21,31257.0,9,9,5
207,1,4,13,31204.0,8,7,0
208,0,0,6,31023.0,0,1,6
209,2,2,14,31608.0,8,3,6
210,3,5,20,31613.0,18,39,3
211,0,0,13,31115.0,0,4,3
212,0,1,3,31258.0,0,1,4
213,0,1,12,31311.0,1,1,6
214,3,2,17,31605.0,23,21,4
215,1,0,22,31619.0,8,6,6
216,0,0,17,31021.0,6,2,3
217,2,1,15,31619.0,16,6,1
218,7,7,13,31237.0,20,14,5
219,1,0,21,31302.0,0,1,6
220,2,1,13,31041.0,1,1,1
221,4,2,18,31221.0,6,10,6
222,0,0,0,31034.0,0,1,4
223,2,1,21,31238.0,0,13,3
224,0,0,1,31247.0,1,1,2
225,2,2,1,31237.0,4,3,5
226,0,0,20,31631.0,5,3,6
227,1,1,22,31214.0,17,6,6
228,0,0,11,31031.0,2,1,2
229,0,0,19,31407.0,1,4,1
230,0,0,6,31312.0,0,3,3
231,1,1,9,31230.0,29,9,0
232,0,1,14,31603.0,9,6,2
233,0,0,0,31042.0,0,1,1
234,0,0,22,31703.0,0,1,4
235,9,8,11,31610.0,23,30,5
236,1,2,10,31118.0,1,1,0
237,0,0,22,31011.0,1,5,2
238,1,0,6,31232.0,11,3,1
239,0,0,16,31001.0,2,2,4
240,2,3,16,31263.0,5,9,0
241,0,0,17,31617.0,18,4,2
242,0,0,11,31033.0,1,2,6
243,0,0,14,31209.0,2,4,1
244,0,0,20,31008.0,2,1,0
245,5,5,12,31100.0,6,1,6
246,0,1,15,31507.0,2,6,3
247,7,7,20,31243.0,1,2,6
248,0,1,8,31106.0,31,28,0
249,0,0,11,32010.0,1,1,1
250,0,0,18,31403.0,1,1,6
251,2,1,14,31233.0,15,14,3
252,0,1,19,31633.0,0,2,2
253,5,5,16,31218.0,45,21,3
254,1,0,11,31625.0,7,7,4
255,2,0,17,31044.0,2,2,6
256,0,0,23,31623.0,5,16,0
257,0,1,16,31619.0,27,12,2
258,0,0,12,31068.0,2,1,4
259,1,0,8,31044.0,2,2,4
260,5,5,13,31602.0,15,20,6
261,2,4,20,31201.0,42,48,3
262,0,0,5,31200.0,6,3,3
263,1,1,14,31630.0,2,2,1
264,0,1,13,31109.0,9,8,0
265,0,0,14,31801.0,0,1,2
266,2,2,11,31238.0,17,11,2
267,0,0,6,31107.0,0,8,3
268,0,0,23,31041.0,0,1,4
269,5,3,14,31111.0,16,21,5
270,1,3,22,31611.0,16,8,5
271,0,0,19,31028.0,3,2,6
272,1,0,12,31051.0,0,1,2
273,2,6,20,31243.0,4,4,0
274,0,0,11,31018.0,2,1,4
275,0,0,15,31601.0,0,5,4
276,0,0,7,31024.0,14,3,4
277,0,0,19,31038.0,2,2,0
278,0,0,20,31403.0,1,2,2
279,1,0,20,31622.0,16,4,3
280,2,2,13,31106.0,11,5,3
281,0,0,17,31403.0,1,2,3
282,1,1,17,31614.0,33,9,4
283,0,0,14,31060.0,0,1,0
284,0,0,17,31012.0,2,16,3
285,0,1,15,31626.0,8,4,1
286,3,0,11,31312.0,4,5,1
287,1,0,8,31300.0,3,5,5
288,1,3,13,31048.0,0,3,1
289,9,15,18,31228.0,23,24,6
290,0,0,21,31245.0,17,14,3
291,2,2,16,31267.0,14,11,6
292,5,5,21,31233.0,5,3,5
293,0,2,19,31300.0,4,3,4
294,1,1,16,31267.0,11,13,1
295,1,2,22,31205.0,2,3,6
296,0,0,11,31032.0,3,2,2
297,1,1,10,31106.0,6,11,3
298,3,0,19,31111.0,28,13,1
299,0,0,7,31512.0,0,3,3
300,0,0,9,31111.0,2,5,0
