id,lat,long,name
31000,38.8561,-77.0512,20th & Bell St
31001,38.85725,-77.05332,18th & Eads St.
31002,38.8564,-77.0492,20th & Crystal Dr
31003,38.86017,-77.049593,15th & Crystal Dr
31004,38.857866,-77.05949,Aurora Hills Community Ctr/18th & Hayes St
31005,38.862303,-77.059936,12th & Hayes St /  Pentagon City Metro
31006,38.8637,-77.0633,S Joyce & Army Navy Dr
31007,38.8573,-77.0511,Crystal City Metro / 18th & Bell St
31008,38.8629,-77.0528,12th & Army Navy Dr
31009,38.848441,-77.051516,27th & Crystal Dr
31010,38.8426,-77.0502,S Glebe & Potomac Ave
31011,38.8533,-77.0498,23rd & Crystal Dr
31012,38.850688,-77.05152,26th & S Clark St
31013,38.853613,-77.053535,23rd & Eads St
31014,38.897315,-77.070993,Lynn & 19th St North
31015,38.8946,-77.072305,Rosslyn Metro / Wilson Blvd & Ft Myer Dr
31016,38.893648,-77.076701,Clarendon Blvd & Pierce St
31017,38.891696,-77.0846,Court House Metro / Wilson Blvd & N Uhle St
31018,38.892164,-77.079375,N Rhodes & 16th St N
31019,38.889,-77.0925,Wilson Blvd & N Edgewood St
31020,38.8904,-77.0889,Wilson Blvd & Franklin Rd
31021,38.8881,-77.09308,Clarendon Blvd & N Fillmore St
31022,38.88786,-77.094875,Clarendon Metro / Wilson Blvd & N Highland St
31023,38.885801,-77.097745,Fairfax Dr & Wilson Blvd
31024,38.882788,-77.103148,Virginia Square Metro / N Monroe St & 9th St N
31025,38.88397,-77.10783,Central Library / N Quincy St & 10th St N
31026,38.884734,-77.093485,Washington Blvd & 10th St N
31027,38.896015,-77.078107,Key Blvd & N Quinn St
31028,38.893241,-77.086045,N Veitch & Key Blvd
31029,38.896923,-77.086502,N Veitch  & 20th St N
31030,38.89593,-77.089006,N Adams St & Lee Hwy
31031,38.89054,-77.08095,15th & N Scott St
31032,38.880834,-77.091129,Washington Blvd & 7th St N
31033,38.8815,-77.10396,Wilson Blvd & N Oakland St
31034,38.882629,-77.109366,N Randolph St & Fairfax Dr
31035,38.876393,-77.107735,N Quincy St & Glebe Rd
31036,38.87887,-77.1207,George Mason Dr & Wilson Blvd
31037,38.881044,-77.111768,Ballston Metro / N Stuart & 9th St N
31038,38.883921,-77.116817,Glebe Rd & 11th St N
31039,38.880151,-77.107673,N Quincy St & Wilson Blvd
31040,38.884616,-77.10108,Fairfax Dr & Kenmore St
31041,38.803124,-77.040363,Prince St & Union St
31042,38.804718,-77.043363,Market Square / King St & Royal St
31043,38.810743,-77.044664,Saint Asaph St & Pendleton  St
31044,38.805317,-77.049883,King St & Patrick St
31045,38.805648,-77.05293,Commerce St & Fayette St
31046,38.811456,-77.050276,Henry St & Pendleton St
31047,38.814577,-77.052808,Braddock Rd Metro
31048,38.805767,-77.06072,King St Metro
31049,38.883669,-77.113905,Utah St & 11th St N 
31050,38.884961,-77.08777,Barton St & 10th St N
31051,38.889365,-77.077294,Arlington Blvd & N Queen St
31052,38.844015,-77.050537,Potomac Ave & 35th St S
31053,38.863833,-77.080319,Columbia Pike & S Courthouse Rd
31054,38.857803,-77.086733,Walter Reed Community Center / Walter Reed Dr & 16th St S
31055,38.846222,-77.069275,28th St S & S Meade St
31056,38.847977,-77.075104,S Troy St & 26th St S
31057,38.8444,-77.085931,S Four Mile Run Dr & S Shirlington Rd
31058,38.860789,-77.09586,S Oakland St & Columbia Pike
31059,38.835213,-77.094295,S Abingdon St & 36th St S
31060,38.84232,-77.089555,S Arlington Mill Dr & Campbell Ave
31061,38.848454,-77.084918,S Kenmore & 24th St S
31062,38.854691,-77.100555,S George Mason Dr & 13th St S
31063,38.852248,-77.105022,S George Mason Dr & Four Mile Run
31064,38.834108,-77.087323,S Stafford & 34th St S
31065,38.880705,-77.08596,N Pershing Dr & Wayne St
31066,38.867262,-77.072315,Columbia Pike & S Orme St
31067,38.862478,-77.086599,Columbia Pike & S Walter Reed Dr
31068,38.856319,-77.11153,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center
31069,38.871822,-77.107906,Pershing & N George Mason Dr
31070,38.873755,-77.089233,Arlington Blvd & Fillmore St
31071,38.86646,-77.04826,Long Bridge Park/Long Bridge Dr & 6th St S
31072,38.837666,-77.09482,31st & Woodrow St S
31073,38.873219,-77.082104,Washington Blvd & Walter Reed Dr 
31074,38.869675,-77.093586,Thomas Jefferson Cmty Ctr / 2nd St S & Ivy
31075,38.866471,-77.076131,Rolfe St & 9th St S
31076,38.839912,-77.087083,Shirlington Transit Center / S Quincy & Randolph St
31100,38.9003,-77.0429,19th St & Pennsylvania Ave NW
31101,38.9176,-77.0321,14th & V St NW
31102,38.929464,-77.027822,11th & Kenyon St NW
31103,38.926088,-77.036536,16th & Harvard St NW
31104,38.922925,-77.042581,Adams Mill & Columbia Rd NW
31105,38.9268,-77.0322,14th & Harvard St NW
31106,38.923203,-77.047637,Calvert & Biltmore St NW
31107,38.9319,-77.0388,Lamont & Mt Pleasant NW
31108,38.8767,-77.0178,4th & M St SW
31109,38.9155,-77.0222,7th & T St NW
31110,38.9154,-77.0446,20th St & Florida Ave NW
31111,38.9172,-77.0259,10th & U St NW
31112,38.927872,-77.043358,Harvard St & Adams Mill Rd NW
31113,38.920669,-77.04368,Columbia Rd & Belmont St NW
31114,38.918809,-77.041571,18th St & Wyoming Ave NW
31115,38.928156,-77.02344,Columbia Rd & Georgia Ave NW
31116,38.917761,-77.04062,California St & Florida Ave NW
31117,38.92333,-77.0352,15th & Euclid St  NW
31118,38.917622,-77.01597,3rd & Elm St NW
31119,38.921074,-77.031887,14th & Belmont St NW
31120,38.920387,-77.025672,10th & Florida Ave NW
31121,38.923583,-77.050046,Calvert St & Woodley Pl NW
31200,38.9101,-77.0444,Massachusetts Ave & Dupont Circle NW
31201,38.90985,-77.034438,15th & P St NW
31202,38.912682,-77.031681,14th & R St NW
31203,38.9086,-77.0323,14th & Rhode Island Ave NW
31204,38.8963,-77.045,20th & E St NW
31205,38.9008,-77.047,21st & I St NW
31206,38.8952,-77.0436,19th & E Street NW
31207,38.9249,-77.0222,Georgia Ave and Fairmont St NW
31208,38.8763,-77.0037,M St & New Jersey Ave SE
31209,38.8743,-77.0057,1st & N St  SE
31210,38.896404,-77.039506,White House [17th & State Pl NW]
31211,38.895184,-77.054845,Kennedy Center
31212,38.90534,-77.046774,21st & M St NW
31213,38.90276,-77.03863,17th & K St NW
31214,38.9121,-77.0387,17th & Corcoran St NW
31215,38.9022212,-77.059219,Georgetown Harbor / 30th St NW
31216,38.899641,-77.032005,McPherson Square / 14th & H St NW
31217,38.887237,-77.028226,USDA / 12th & Independence Ave SW
31218,38.886266,-77.022241,L'Enfant Plaza / 7th & C St SW
31219,38.893028,-77.026013,10th St & Constitution Ave NW
31220,38.894919,-77.046587,US Dept of State / Virginia Ave & 21st St NW
31221,38.904742,-77.041606,18th & M St NW
31222,38.8991,-77.0337,New York Ave & 15th St NW
31223,38.90572,-77.022264,Convention Center / 7th & M St NW
31224,38.903407,-77.043648,19th & L St NW
31225,38.90375,-77.06269,C & O Canal & Wisconsin Ave NW
31226,38.916442,-77.0682,34th St & Wisconsin Ave NW
31227,38.900283,-77.029822,13th St & New York Ave NW
31228,38.8997,-77.023086,8th & H St NW
31229,38.91554,-77.03818,New Hampshire Ave & T St NW
31230,38.898364,-77.027869,Metro Center / 12th & G St NW
31231,38.894514,-77.031617,14th & D St NW / Ronald Reagan Building
31232,38.897324,-77.022322,7th & F St NW / National Portrait Gallery
31233,38.902061,-77.038322,17th & K St NW / Farragut Square
31234,38.908905,-77.04478,20th & O St NW / Dupont South
31235,38.8923,-77.0436,19th St & Constitution Ave NW
31236,38.90774,-77.071652,37th & O St NW / Georgetown University
31237,38.903827,-77.053485,25th St & Pennsylvania Ave NW
31238,38.898069,-77.031823,14th & G St NW
31239,38.906602,-77.038785,17th & Rhode Island Ave NW
31240,38.88412,-77.04657,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
31241,38.9059,-77.0325,Thomas Circle
